# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	2025.05.31. hBN stepscan stability
# Description:	 	thin-hBN-nanoFTIR-s4
# Date:	 	05/31/2025 20:05:06
# Scanner Center Position (X, Y):	[µm]	53.12	47.63	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	600
# Interferometer:		 	 	 
# Interferometer Center/Distance:	[µm]	470.000	490.000	 
# Averaging:	 	16	 	 
# Integration time:	[ms]	7	 	 
# Wavenumber Scaling:	 	0.999295	 	 
# Laser Source:	 	Synchrotron B	
# Detector:	 	R
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	59,656.965	 	 
# Tip Amplitude:	[mV]	147.000	 	 
# Tapping Amplitude:	[nm]	81.779	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	75.25	 	 
# Regulator (P, I, D):	 	1.662965	1.974723	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	1.520	 	 
# M1A Cantilever Factor:	 	1.372	 	 
# Q-Factor:	 	220.6	 	 
# Transmission Sync:	 		 	 
# Version:	 	2.1.12235.0
Row	Column	Run	Depth	Z	M	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	0	5.865974E-07	0.00022232375	150.32304	0	17.072073	0.8593308	3.9575648	1.7198114	1.3857608	2.5967011	0.70927316	-2.8880835	0.30073628	-2.1545525	
0	0	0	1	5.865786E-07	0.00022440699	156.8418	0	17.10266	0.8584964	3.928967	1.7273352	1.4016405	2.6059623	0.64528626	-2.837296	0.33438626	-1.8687229	
0	0	0	2	5.865478E-07	0.00022755122	154.9028	0	17.020948	0.85877347	3.834437	1.7134131	1.4610472	2.545793	0.6701559	-2.8803189	0.3197143	-2.0843039	
0	0	0	3	5.8660197E-07	0.0002293895	144.03334	0	17.27014	0.85759	3.8992388	1.7179539	1.3942366	2.6138675	0.6141585	-2.8022628	0.28334212	-2.241125	
0	0	0	4	5.8664386E-07	0.00023044541	163.64088	0	17.1074	0.85918117	3.9833863	1.7104483	1.3464056	2.5563197	0.6592114	-2.5993369	0.34338343	-1.901436	
0	0	0	5	5.8663386E-07	0.00023125947	157.24995	0	17.217321	0.8592865	3.964588	1.7306378	1.3988051	2.595632	0.6954407	-2.8959658	0.3476834	-1.8988643	
0	0	0	6	5.8660424E-07	0.00023211357	137.20789	0	17.315224	0.855042	3.8733819	1.7289199	1.3377632	2.5855794	0.72682905	-2.9117541	0.32880765	-2.037531	
0	0	0	7	5.866149E-07	0.00023291905	158.93765	0	16.926615	0.8601914	3.810816	1.7103537	1.3849357	2.5455077	0.6499864	-2.8893166	0.34923813	-2.0081758	
0	0	0	8	5.8662437E-07	0.00023377681	160.06534	0	16.631935	0.8543901	3.9001474	1.7102684	1.4054095	2.5852406	0.60796773	-2.774863	0.36907655	-2.0174294	
0	0	0	9	5.866511E-07	0.00023462603	141.812	0	17.170519	0.85927856	3.9012272	1.7045048	1.4902686	2.595061	0.6088736	-2.7908447	0.2645181	-2.11762	
0	0	0	10	5.8664585E-07	0.00023542583	150.82603	0	17.547388	0.86164397	4.069642	1.7042819	1.4577104	2.5909648	0.58693457	-2.7944813	0.29543632	-1.9530642	
0	0	0	11	5.8660964E-07	0.00023627364	154.32947	0	17.306034	0.85725725	3.9606304	1.7456341	1.3838372	2.6014152	0.6097389	-2.7370453	0.33239883	-1.9669843	
0	0	0	12	5.865836E-07	0.00023711743	165.4983	0	16.874123	0.85875833	3.7952049	1.6928153	1.3197705	2.621433	0.5856246	-2.8319824	0.34755376	-1.900051	
0	0	0	13	5.86605E-07	0.00023791252	144.7008	0	17.162636	0.8608762	3.9155748	1.7335832	1.3681737	2.5794146	0.70534074	-2.769925	0.39957365	-2.0441437	
0	0	0	14	5.866338E-07	0.00023875719	149.17477	0	17.245073	0.8570847	3.9252949	1.7142931	1.3971155	2.558576	0.7258835	-2.8942864	0.36441725	-2.1974876	
0	0	0	15	5.86651E-07	0.00023954932	157.14494	0	16.871069	0.8621779	3.913352	1.7284755	1.4488672	2.5459516	0.63369876	-2.7651587	0.30513772	-2.0670538	
0	0	0	16	5.866367E-07	0.0002403924	160.86511	0	16.836855	0.8564423	3.8658123	1.6982394	1.4495122	2.5766506	0.5938716	-2.8122063	0.30358905	-1.8381562	
0	0	0	17	5.8665665E-07	0.00024122976	146.98878	0	17.13285	0.86011475	3.9919517	1.7397147	1.3803351	2.5814304	0.65985036	-2.8638391	0.2684415	-1.8838208	
0	0	0	18	5.867141E-07	0.00024202548	147.56467	0	17.36077	0.86045927	3.9981315	1.7247357	1.3655751	2.60304	0.57129604	-2.8026733	0.32712463	-1.9883652	
0	0	0	19	5.867048E-07	0.00024285904	161.31856	0	17.383339	0.8578992	3.9279625	1.7295232	1.3739157	2.573888	0.57686853	-2.7414336	0.33006594	-1.8556	
