# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	2025.05.31. hBN stepscan stability
# Description:	 	thin-hBN-nanoFTIR-s2
# Date:	 	05/31/2025 20:02:37
# Scanner Center Position (X, Y):	[µm]	53.61	48.10	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	600
# Interferometer:		 	 	 
# Interferometer Center/Distance:	[µm]	470.000	490.000	 
# Averaging:	 	16	 	 
# Integration time:	[ms]	7	 	 
# Wavenumber Scaling:	 	0.999295	 	 
# Laser Source:	 	Synchrotron B	
# Detector:	 	R
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	59,656.965	 	 
# Tip Amplitude:	[mV]	147.000	 	 
# Tapping Amplitude:	[nm]	81.964	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	75.25	 	 
# Regulator (P, I, D):	 	1.662965	1.974723	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	1.520	 	 
# M1A Cantilever Factor:	 	1.372	 	 
# Q-Factor:	 	220.6	 	 
# Transmission Sync:	 		 	 
# Version:	 	2.1.12235.0
Row	Column	Run	Depth	Z	M	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	0	5.9626154E-07	0.00022230117	156.33318	0	16.362944	0.8581414	3.566251	1.7086831	1.1578411	2.540203	0.52360463	-2.7213764	0.2595549	-1.9318619	
0	0	0	1	5.961992E-07	0.00022440239	158.17407	0	16.303404	0.85745287	3.6115372	1.7298414	1.1592358	2.5515747	0.60992646	-2.8233516	0.23823914	-2.2331429	
0	0	0	2	5.9617923E-07	0.00022754859	137.16441	0	16.271	0.8524349	3.6332777	1.7262264	1.2292699	2.5254364	0.55367976	-2.8926313	0.27798745	-2.1107593	
0	0	0	3	5.961647E-07	0.00022938663	167.87491	0	16.36452	0.854556	3.6109023	1.7301804	1.1449512	2.5629003	0.5465541	-2.7422862	0.26664275	-1.9608108	
0	0	0	4	5.961512E-07	0.00023044318	154.37178	0	16.155592	0.86316824	3.5710807	1.6876738	1.2144705	2.6238186	0.56498325	-2.7156956	0.27641648	-2.2462735	
0	0	0	5	5.9603E-07	0.00023125636	155.46913	0	16.276033	0.8572844	3.6311553	1.6939296	1.2640138	2.5321412	0.57469696	-2.7548022	0.26784497	-1.7242016	
0	0	0	6	5.9604264E-07	0.0002321115	143.15787	0	16.350382	0.85616857	3.5835612	1.7331071	1.252762	2.5963905	0.49359998	-2.8445244	0.21581164	-1.9475172	
0	0	0	7	5.9608766E-07	0.00023292414	153.80008	0	16.175594	0.86071193	3.525946	1.7335658	1.1963013	2.6136694	0.452001	-2.807846	0.2876781	-2.0629148	
0	0	0	8	5.961729E-07	0.00023377438	158.51123	0	15.881879	0.85858536	3.523905	1.6993175	1.1346337	2.7248063	0.5503352	-2.7692611	0.26896802	-1.8779039	
0	0	0	9	5.96158E-07	0.00023462986	153.83345	0	16.39696	0.8601805	3.684357	1.712721	1.2976862	2.5545356	0.5280746	-2.8157434	0.25931102	-2.0151343	
0	0	0	10	5.961584E-07	0.0002354262	143.5753	0	16.750353	0.85923415	3.5966446	1.7289149	1.2849768	2.6181056	0.53445673	-2.8349552	0.27709073	-2.1327243	
0	0	0	11	5.9608044E-07	0.0002362723	152.14702	0	16.367636	0.86210304	3.5265734	1.7127091	1.1920106	2.5505385	0.59559155	-2.8780825	0.24241692	-1.9087228	
0	0	0	12	5.9604224E-07	0.00023707077	162.71803	0	15.921863	0.86572087	3.5606592	1.723629	1.2261344	2.6224134	0.5740779	-2.9587274	0.22420113	-2.0432124	
0	0	0	13	5.9603457E-07	0.00023791454	151.62146	0	16.241179	0.8629814	3.640885	1.7131602	1.2826056	2.5271785	0.58479774	-2.8723874	0.27790132	-1.8013175	
0	0	0	14	5.960247E-07	0.00023875885	141.001	0	16.46339	0.85868293	3.6664348	1.71769	1.2467407	2.5363562	0.50774443	-2.8606222	0.26104778	-2.0620317	
0	0	0	15	5.9604866E-07	0.00023955124	171.5156	0	16.133123	0.8555504	3.681696	1.730614	1.1663705	2.5710719	0.48113897	-2.9590755	0.2624013	-1.9138943	
0	0	0	16	5.9605287E-07	0.00024039113	150.46126	0	16.123516	0.85905766	3.5310023	1.7493824	1.1618204	2.5498254	0.5895082	-2.9142015	0.24807034	-1.7163709	
0	0	0	17	5.9610034E-07	0.00024123272	149.0831	0	16.294477	0.8595853	3.5732489	1.7365655	1.123258	2.5910096	0.56155664	-2.8428264	0.256445	-2.2573004	
0	0	0	18	5.961678E-07	0.00024202147	149.84743	0	16.353668	0.86445427	3.6422234	1.729657	1.2147324	2.600853	0.46089232	-2.8790615	0.3182059	-1.9906793	
0	0	0	19	5.96166E-07	0.00024286425	146.9696	0	16.411755	0.8589685	3.565366	1.7214357	1.2689452	2.5961666	0.523896	-2.8841841	0.20256382	-1.7623504	
0	0	0	20	5.9614086E-07	0.0002436585	156.85138	0	16.195435	0.85850173	3.547559	1.7045928	1.2371447	2.657786	0.637375	-2.854971	0.23778155	-2.0828571	
0	0	0	21	5.961951E-07	0.000244495	150.76965	0	15.965806	0.8594779	3.569399	1.6977689	1.1902615	2.6222117	0.5433343	-2.8539834	0.24017154	-2.0015404	
0	0	0	22	5.962229E-07	0.00024533487	160.88974	0	16.075336	0.8589391	3.5836868	1.7214525	1.2712367	2.5398388	0.45662296	-2.719724	0.24394654	-1.7573642	
0	0	0	23	5.9618816E-07	0.00024612423	145.73091	0	16.614656	0.8553263	3.6883438	1.7200243	1.212898	2.5949883	0.5882666	-2.8215525	0.29697138	-2.109167	
0	0	0	24	5.961288E-07	0.00024695892	157.43285	0	16.422258	0.8591428	3.5771866	1.7353587	1.138796	2.5639596	0.5600853	-2.8130167	0.24672139	-1.9916735	
0	0	0	25	5.961084E-07	0.00024775098	159.42758	0	16.016085	0.8636606	3.5058105	1.7339314	1.1167629	2.5256636	0.5351712	-2.852956	0.25839484	-1.9060279	
0	0	0	26	5.9609806E-07	0.0002485913	151.39444	0	16.185904	0.86109823	3.5851285	1.6952627	1.1671882	2.5588694	0.6441518	-2.7966254	0.24710417	-2.133338	
0	0	0	27	5.9612796E-07	0.0002494303	148.65395	0	16.543451	0.86320835	3.6105897	1.7232339	1.2491643	2.564163	0.589943	-2.9588704	0.26690805	-1.976645	
