# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	2025.05.31. hBN stepscan stability
# Description:	 	thin-hBN-nanoFTIR-s3
# Date:	 	05/31/2025 20:03:51
# Scanner Center Position (X, Y):	[µm]	53.16	48.61	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	600
# Interferometer:		 	 	 
# Interferometer Center/Distance:	[µm]	470.000	490.000	 
# Averaging:	 	16	 	 
# Integration time:	[ms]	7	 	 
# Wavenumber Scaling:	 	0.999295	 	 
# Laser Source:	 	Synchrotron B	
# Detector:	 	R
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	59,656.965	 	 
# Tip Amplitude:	[mV]	147.000	 	 
# Tapping Amplitude:	[nm]	81.939	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	75.25	 	 
# Regulator (P, I, D):	 	1.662965	1.974723	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	1.520	 	 
# M1A Cantilever Factor:	 	1.372	 	 
# Q-Factor:	 	220.6	 	 
# Transmission Sync:	 		 	 
# Version:	 	2.1.12235.0
Row	Column	Run	Depth	Z	M	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	0	5.861808E-07	0.00022233096	148.15117	0	16.788277	0.862509	3.8041854	1.7428201	1.3509368	2.5868905	0.57455575	-2.908697	0.23006868	-2.301529	
0	0	0	1	5.8616064E-07	0.00022441188	151.08467	0	16.908218	0.8569893	3.8425553	1.728746	1.2694849	2.5494428	0.5888994	-2.881018	0.35619572	-1.8260881	
0	0	0	2	5.8615575E-07	0.00022755344	151.08862	0	16.739048	0.86198455	3.8010545	1.7419498	1.4348972	2.5886757	0.64266634	-2.8421016	0.32180023	-1.9348012	
0	0	0	3	5.862192E-07	0.00022938785	150.67426	0	16.925137	0.85874146	3.7857947	1.7122458	1.3172596	2.5801015	0.4722386	-2.8673851	0.3890386	-2.1806862	
0	0	0	4	5.8622066E-07	0.00023044409	171.39037	0	16.686804	0.8582776	3.832129	1.7289177	1.284932	2.6226301	0.61834013	-2.8420713	0.28851503	-2.0104666	
0	0	0	5	5.86169E-07	0.00023125745	145.31734	0	16.901232	0.85510176	3.8605068	1.7314756	1.3833447	2.555737	0.60223293	-2.7819786	0.37502757	-1.8758978	
0	0	0	6	5.8614944E-07	0.00023211334	147.57156	0	17.07695	0.85688573	3.7956715	1.7359495	1.3805802	2.5803003	0.5666334	-2.8214967	0.32555822	-1.8296894	
0	0	0	7	5.86166E-07	0.00023292258	152.5618	0	16.57334	0.85626674	3.8002288	1.732138	1.3456049	2.561943	0.6102002	-2.95548	0.28573284	-2.0843232	
0	0	0	8	5.8620356E-07	0.000233777	168.33937	0	16.400139	0.8562468	3.859603	1.732255	1.3050258	2.5915618	0.58999336	-2.906855	0.30187294	-2.000815	
0	0	0	9	5.861963E-07	0.00023462986	148.08351	0	16.858374	0.8636805	3.903027	1.704094	1.3414332	2.5287726	0.6608351	-2.8047998	0.2932015	-1.6751887	
0	0	0	10	5.8619133E-07	0.00023542353	138.7246	0	17.26315	0.8582748	3.8591468	1.721844	1.3693733	2.5973375	0.6020766	-2.8795984	0.32263148	-1.9733323	
0	0	0	11	5.862015E-07	0.00023627603	158.59645	0	17.093605	0.8596572	3.7538373	1.7195302	1.2971952	2.564068	0.5617081	-2.927106	0.29920572	-1.8954879	
0	0	0	12	5.8621396E-07	0.00023706842	156.46135	0	16.647697	0.8593565	3.6120684	1.7152724	1.3261746	2.5789547	0.52774245	-2.8806157	0.31409946	-2.0703502	
0	0	0	13	5.862272E-07	0.00023791502	156.88916	0	16.732481	0.8621253	3.7399962	1.7485071	1.2856659	2.5505555	0.62020886	-2.8441038	0.31259918	-1.9574543	
0	0	0	14	5.862542E-07	0.00023875691	141.88441	0	17.012802	0.8593031	3.8413544	1.7241964	1.3423945	2.5694938	0.688499	-2.9276958	0.3202326	-1.9791527	
0	0	0	15	5.8624653E-07	0.00023955145	160.7504	0	16.572912	0.8547317	3.731164	1.7262778	1.3690115	2.612616	0.5753052	-2.8534808	0.26038718	-2.0622945	
0	0	0	16	5.8624437E-07	0.00024039338	156.4072	0	16.568346	0.86275154	3.8694477	1.7146538	1.3418629	2.6294034	0.5490481	-2.866331	0.2860658	-1.8958576	
0	0	0	17	5.8624005E-07	0.00024123084	144.09041	0	16.82297	0.858702	3.9126124	1.7059625	1.3142506	2.5843654	0.61722094	-2.7965603	0.3019901	-1.91522	
0	0	0	18	5.862901E-07	0.000242024	153.03848	0	17.122995	0.85795313	3.8152916	1.7181942	1.406017	2.5215173	0.5598745	-2.831769	0.28702268	-2.1360679	
0	0	0	19	5.86276E-07	0.00024286215	159.55424	0	17.01208	0.862827	3.8085985	1.7204977	1.2534585	2.6073565	0.52880925	-2.8313706	0.31823438	-2.188567	
0	0	0	20	5.8624914E-07	0.00024365219	149.51526	0	16.853146	0.86104715	3.7837706	1.6822777	1.3345168	2.5561647	0.5925257	-2.9053826	0.31715307	-1.965434	
0	0	0	21	5.861883E-07	0.0002444935	157.96219	0	16.581635	0.86006075	3.747826	1.7169579	1.3400964	2.6073148	0.66778386	-2.8247778	0.27599967	-1.7227651	
