# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	2025.05.31. hBN stepscan stability
# Description:	 	thin-hBN-nanoFTIR-siref
# Date:	 	05/31/2025 20:00:09
# Scanner Center Position (X, Y):	[µm]	54.25	47.78	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	600
# Interferometer Center/Distance:	[µm]	470.000	490.000	 
# Averaging:	 	16	 	 
# Integration time:	[ms]	7	 	 
# Wavenumber Scaling:	 	0.999295	 	 
# Laser Source:	 	Synchrotron B
# Detector:	 	R
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	59,656.965	 	 
# Tip Amplitude:	[mV]	147.000	 	 
# Tapping Amplitude:	[nm]	81.886	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	75.25	 	 
# Regulator (P, I, D):	 	1.662965	1.974723	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	1.520	 	 
# M1A Cantilever Factor:	 	1.372	 	 
# Q-Factor:	 	220.6	 	 
# Version:	 	2.1.12235.0
Row	Column	Run	Depth	Z	M	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	27	5.707596E-07	0.0002494443	155.95152	0	18.434488	0.85912	4.4690447	1.7438853	1.7590827	2.6340547	0.86765474	-2.8198702	0.49533936	-1.9335746	
0	0	0	28	5.707995E-07	0.00025023703	153.4708	0	18.108604	0.8614064	4.403943	1.7328018	1.7035415	2.584609	0.8337409	-2.845092	0.46700135	-2.007928	
0	0	0	29	5.708515E-07	0.00025108093	169.03761	0	17.800262	0.86056626	4.4943433	1.6956524	1.6932011	2.5914936	0.8911904	-2.866604	0.49163476	-2.0928495	
0	0	0	30	5.708893E-07	0.00025191825	158.82036	0	18.067394	0.8607113	4.4098797	1.720056	1.725515	2.579723	0.8277805	-2.765872	0.36279818	-2.06746	
0	0	0	31	5.7091034E-07	0.0002527002	150.91684	0	18.252203	0.8578047	4.550749	1.7161921	1.7236849	2.554674	0.82102907	-2.8107672	0.43749914	-1.9697949	
0	0	0	32	5.709236E-07	0.00025353677	174.40019	0	18.061405	0.8573561	4.429506	1.7098528	1.7022898	2.5559478	0.81596404	-2.878911	0.416873	-1.743044	
0	0	0	33	5.709448E-07	0.00025432665	162.7606	0	17.832794	0.85975	4.513417	1.7108238	1.6965783	2.5361452	0.8603414	-2.840153	0.4449569	-1.9726021	
0	0	0	34	5.7089323E-07	0.0002551695	154.79553	0	18.035637	0.8582715	4.402208	1.6933016	1.6869326	2.5477457	0.82034117	-2.7825959	0.5273687	-1.935059	
0	0	0	35	5.7081786E-07	0.00025600396	155.4087	0	18.065552	0.8566631	4.593067	1.7111652	1.7321179	2.60348	0.83348864	-2.8451197	0.44665027	-1.8979542	
0	0	0	36	5.707921E-07	0.0002567902	162.43304	0	18.044487	0.85914856	4.451063	1.7269242	1.7849308	2.5678327	0.82460326	-2.8840485	0.50804555	-1.9744205	
0	0	0	37	5.707708E-07	0.00025762848	157.8731	0	17.972803	0.8585015	4.451056	1.7055994	1.7694231	2.51975	0.8877207	-2.8599443	0.4330384	-2.11803	
0	0	0	38	5.707408E-07	0.00025847196	159.38843	0	18.026579	0.8574447	4.407478	1.7144772	1.7330798	2.5656626	0.9048541	-2.803361	0.4903368	-1.910897	
0	0	0	39	5.7076846E-07	0.0002592537	159.50499	0	18.146452	0.8571739	4.4113135	1.714707	1.751518	2.5131006	0.7844714	-2.7964008	0.5077591	-1.9099731	
0	0	0	40	5.70804E-07	0.00026009214	153.04088	0	18.110754	0.8588548	4.4540396	1.7163751	1.7589413	2.530176	0.89055765	-2.8286874	0.41633224	-1.943741	
0	0	0	41	5.7086123E-07	0.00026087702	164.29225	0	17.994377	0.860737	4.5100493	1.7208991	1.7982342	2.568447	0.87473506	-2.8692613	0.44045684	-1.9736784	
0	0	0	42	5.709013E-07	0.00026171465	152.64618	0	18.029505	0.8583888	4.449526	1.715329	1.7350658	2.550607	0.8821207	-2.811451	0.4383364	-2.0419729	
0	0	0	43	5.70911E-07	0.0002625569	164.48935	0	17.946856	0.8609847	4.4972296	1.7364136	1.7192343	2.5373943	0.8848686	-2.8352232	0.4671735	-1.9929242	
0	0	0	44	5.709081E-07	0.0002633447	163.59656	0	17.904541	0.858934	4.4222174	1.7180591	1.7955556	2.5909607	0.8895542	-2.8329172	0.42465952	-1.9982398	
0	0	0	45	5.708735E-07	0.0002641785	151.92392	0	18.027197	0.85832465	4.4087796	1.7201107	1.7451699	2.5919604	0.9633407	-2.8533826	0.53979784	-1.9381405	
0	0	0	46	5.708355E-07	0.00026497172	155.83403	0	18.224117	0.86077106	4.405056	1.7265583	1.6854686	2.5640314	0.9556746	-2.8351064	0.5365005	-1.9646238	
0	0	0	47	5.708024E-07	0.00026580473	157.6571	0	18.171621	0.85592055	4.477875	1.7278144	1.6859019	2.5694346	0.8936887	-2.8765857	0.49017632	-2.091716	
0	0	0	48	5.708002E-07	0.00026664327	158.09045	0	18.083889	0.85571223	4.414384	1.7269229	1.7508068	2.6061876	0.8586653	-2.8982172	0.44230404	-1.899258	
